instance_id;date;is_holiday;is_workingday;weather_condition;normalized_temp_actual;normalized_temp_feels_like;normalized_humidity;normalized_wind_speed;casual_users_cnt;registered_users_cnt
669;2012-10-30;No;Yes;misty;0.318182;0.309909;0.825455;0.213009;87;1009
325;2011-11-21;No;Yes;light snow/rain;0.4475;0.445062;0.91;0.138054;220;2545
625;2012-09-16;No;No;clear;0.58;0.563125;0.57;0.0901833;2166;5167
691;2012-11-21;No;Yes;clear;0.353333;0.364892;0.61375;0.103246;615;4531
474;2012-04-18;No;Yes;misty;0.463333;0.457038;0.569167;0.167912;347;4020
205;2011-07-24;No;No;clear;0.83;0.794829;0.550833;0.169171;1050;2556
98;2011-04-08;No;Yes;misty;0.335833;0.324479;0.83625;0.226992;172;1299
337;2011-12-03;No;No;clear;0.299167;0.310604;0.612917;0.0957833;706;2908
569;2012-07-22;No;No;misty;0.6675;0.623125;0.7625;0.0939208;2544;4866
149;2011-05-29;No;No;clear;0.6675;0.61555;0.81875;0.213938;2355;2433
668;2012-10-29;No;Yes;light snow/rain;0.44;0.4394;0.88;0.3582;2;20
213;2011-08-01;No;Yes;clear;0.771667;0.703292;0.550833;0.156717;729;3537
200;2011-07-19;No;Yes;clear;0.776667;0.747479;0.650417;0.1306;752;3789
266;2011-09-23;No;Yes;misty;0.609167;0.522125;0.9725;0.0783667;258;2137
718;2012-12-18;No;Yes;clear;0.410833;0.409708;0.66625;0.221404;433;5124
357;2011-12-23;No;Yes;clear;0.373333;0.377513;0.68625;0.274246;163;2046
502;2012-05-16;No;Yes;clear;0.636667;0.595975;0.697917;0.122512;991;6433
458;2012-04-02;No;Yes;clear;0.433913;0.427513;0.504348;0.312139;1208;4728
605;2012-08-27;No;Yes;clear;0.703333;0.654688;0.730417;0.128733;989;5928
214;2011-08-02;No;Yes;clear;0.783333;0.707071;0.49125;0.20585;801;4044
637;2012-09-28;No;Yes;misty;0.619167;0.585863;0.69;0.164179;1045;6370
545;2012-06-28;No;Yes;clear;0.749167;0.675512;0.4225;0.17165;921;5958
87;2011-03-28;No;Yes;clear;0.264348;0.257574;0.302174;0.212204;222;1806
